var_index,gene,bin
0,PuroR,24
1,TSPAN6,5
2,TNMD,0
3,DPM1,23
4,SCYL3,16
5,C1orf112,19
6,FGR,8
7,CFH,10
8,FUCA2,14
9,GCLC,18
10,NFYA,16
11,STPG1,12
12,NIPAL3,18
13,LAS1L,17
14,ENPP4,14
15,SEMA3F,7
16,CFTR,6
17,ANKIB1,17
18,CYP51A1,22
19,KRIT1,21
20,RAD52,12
21,BAD,14
22,LAP3,20
23,CD99,24
24,HS3ST1,10
25,AOC1,4
26,WNT16,4
27,HECW1,3
28,MAD1L1,18
29,LASP1,21
30,SNX11,14
31,TMEM176A,6
32,M6PR,23
33,KLHL13,8
34,CYP26B1,4
35,ICA1,11
36,DBNDD1,6
37,ALS2,14
38,CASP10,18
39,CFLAR,24
40,TFPI,8
41,NDUFAF7,16
42,RBM5,20
43,MTMR7,3
44,SLC7A2,4
45,ARF5,17
46,SARM1,15
47,POLDIP2,23
48,PLXND1,10
49,CD38,18
50,FKBP4,18
51,KDM1A,21
52,RBM6,21
53,CAMKK1,11
54,RECQL,24
55,VPS50,15
56,HSPB6,7
57,ARHGAP33,12
58,NDUFAB1,24
59,PDK4,4
60,SLC22A16,4
61,ZMYND10,10
62,ABCB5,1
63,ARX,5
64,SLC25A13,13
65,ST7,14
66,CDC27,21
67,SLC4A1,4
68,CALCR,0
69,HCCS,17
70,DVL2,15
71,PRSS22,4
72,UPF1,21
73,SKAP2,12
74,SLC25A5,20
75,MCUB,22
76,HOXA11,5
77,DHX33,19
78,MEOX1,8
79,THSD7A,3
80,LIG3,15
81,RPAP3,21
82,ACSM3,10
83,REXO5,12
84,CIAPIN1,17
85,SPPL2B,15
86,ATOSB,12
87,COPZ2,12
88,PRKAR2B,9
89,MSL3,11
90,CREBBP,20
91,TSPOAP1,15
92,MPO,5
93,PON1,5
94,GCFC2,17
95,WDR54,19
96,CROT,13
97,ABCB4,5
98,KMT2E,22
99,RHBDD2,14
100,SOX8,8
101,IBTK,22
102,ZNF195,16
103,MYCBP2,16
104,FBXL3,22
105,ITGAL,24
106,PDK2,15
107,ITGA3,12
108,ZFX,16
109,LAMP2,22
110,ITGA2B,8
111,ASB4,3
112,GDE1,19
113,CRLF1,1
114,OSBPL7,12
115,TMEM98,9
116,YBX2,5
117,KRT33A,1
118,MAP3K14,14
119,ABCC8,4
120,CACNG3,4
121,TMEM132A,7
122,AP2B1,20
123,TAC1,6
124,ZNF263,16
125,CX3CL1,2
126,SPATA20,13
127,CACNA1G,6
128,TNFRSF12A,10
129,DLX6,2
130,MAP3K9,12
131,RALA,20
132,BAIAP2L1,9
133,KDM7A,16
134,ETV1,6
135,AGK,21
136,ALDH3B1,4
137,TTC22,13
138,PHTF2,22
139,CCL26,6
140,FARP2,15
141,USH1C,2
142,GGCT,22
143,DBF4,20
144,TBXA2R,11
145,IFRD1,19
146,LGALS14,8
147,COX10,20
148,GTF2IRD1,11
149,PAF1,20
150,VPS41,18
151,ARHGAP44,7
152,ELAC2,22
153,SCIN,9
154,ARSD,10
155,PNPLA4,14
156,MYH13,2
157,ADIPOR2,20
158,CDKL3,11
159,UPP2,3
160,PRSS21,12
161,MARK4,12
162,PROM1,7
163,CCDC124,22
164,CEACAM21,13
165,PAFAH1B1,24
166,NOS2,5
167,DNAH9,1
168,BLTP2,23
169,SLC13A2,1
170,GAS7,7
171,TRAPPC6A,17
172,MATK,14
173,CEACAM7,1
174,CD79B,17
175,SCN4A,8
176,ST7L,12
177,TKTL1,8
178,PAX6,5
179,RPUSD1,14
180,RHBDF1,6
181,LUC7L,20
182,CACNA2D2,9
183,BAIAP3,7
184,TSR3,23
185,PIGQ,14
186,CRAMP1,17
187,TEAD3,9
188,SELE,2
