program_id,bin,rank_in_bin,control_symbol
diff_naive,16,0,PLOD3
diff_naive,16,1,FKBP8
diff_naive,16,2,ASPHD2
diff_naive,16,3,NPRL3
diff_naive,16,4,UBXN2A
diff_naive,16,5,ARL3
diff_naive,16,6,BLTP1
diff_naive,16,7,TSHZ2
diff_naive,16,8,KIF18B
diff_naive,16,9,LTBP3
diff_naive,16,10,UBE2H
diff_naive,16,11,GALK1
diff_naive,16,12,ZSWIM7
diff_naive,16,13,TRIM4
diff_naive,16,14,CC2D1A
diff_naive,16,15,ERCC2
diff_naive,16,16,HEG1
diff_naive,16,17,ZC3HC1
diff_naive,16,18,NUP35
diff_naive,16,19,SLC23A2
diff_naive,16,20,ATG9A
diff_naive,16,21,ATP7A
diff_naive,16,22,SCYL3
diff_naive,16,23,PLP2
diff_naive,16,24,DHX58
diff_naive,16,25,FAM199X
diff_naive,16,26,BRF2
diff_naive,16,27,MACO1
diff_naive,16,28,CIR1
diff_naive,16,29,RABIF
diff_naive,16,30,TAF5L
diff_naive,16,31,CWC25
diff_naive,16,32,YTHDF1
diff_naive,16,33,ILVBL
diff_naive,16,34,NDUFAF6
diff_naive,16,35,PWWP2A
diff_naive,16,36,TMEM120A
diff_naive,16,37,SH2B1
diff_naive,16,38,ORC5
diff_naive,16,39,TUBGCP5
diff_naive,16,40,HOMER2
diff_naive,16,41,RNF185
diff_naive,16,42,ELF2
diff_naive,16,43,FOXJ2
diff_naive,16,44,TOP3A
diff_naive,16,45,DENND1A
diff_naive,16,46,CLN8
diff_naive,16,47,FBXL4
diff_naive,16,48,EZH1
diff_naive,16,49,SLC11A2
diff_naive,17,0,VRK2
diff_naive,17,1,NF1
diff_naive,17,2,NR2C2AP
diff_naive,17,3,LSM3
diff_naive,17,4,SFSWAP
diff_naive,17,5,THG1L
diff_naive,17,6,NMT2
diff_naive,17,7,EFL1
diff_naive,17,8,ZCCHC8
diff_naive,17,9,MRS2
diff_naive,17,10,RNASET2
diff_naive,17,11,PDPR
diff_naive,17,12,ZNF12
diff_naive,17,13,ITPR3
diff_naive,17,14,RXRB
diff_naive,17,15,CBR3
diff_naive,17,16,ESRRA
diff_naive,17,17,MAP3K13
diff_naive,17,18,C11orf24
diff_naive,17,19,EIF1AY
diff_naive,17,20,KHDC4
diff_naive,17,21,NSRP1
diff_naive,17,22,CCDC115
diff_naive,17,23,GAB2
diff_naive,17,24,MTFR2
diff_naive,17,25,MTMR3
diff_naive,17,26,ZDHHC14
diff_naive,17,27,TP53BP1
diff_naive,17,28,TSPAN3
diff_naive,17,29,C12orf29
diff_naive,17,30,PABPC1L
diff_naive,17,31,KCTD17
diff_naive,17,32,MSH3
diff_naive,17,33,NOP9
diff_naive,17,34,ABI2
diff_naive,17,35,MOSPD2
diff_naive,17,36,SPNS1
diff_naive,17,37,ZNF581
diff_naive,17,38,NUDT22
diff_naive,17,39,SMIM20
diff_naive,17,40,HPS4
diff_naive,17,41,TAF4
diff_naive,17,42,HAUS3
diff_naive,17,43,CCDC137
diff_naive,17,44,ABCB8
diff_naive,17,45,LFNG
diff_naive,17,46,NDUFS8
diff_naive,17,47,GTPBP10
diff_naive,17,48,BOD1L1
diff_naive,17,49,ANKRD13B
diff_naive,22,0,ERH
diff_naive,22,1,TUBB
diff_naive,22,2,USO1
diff_naive,22,3,MAPRE1
diff_naive,22,4,CCNK
diff_naive,22,5,CIAO2A
diff_naive,22,6,MSH6
diff_naive,22,7,MIB1
diff_naive,22,8,ZDHHC20
diff_naive,22,9,VPS4B
diff_naive,22,10,WDR75
diff_naive,22,11,BCL11B
diff_naive,22,12,FGFR1OP2
diff_naive,22,13,RALY
